,s,e,t
162,"mendenhall,cl","garciapont,p",1984
163,"mendenhall,cl","goldberg,s",1984
164,"mendenhall,cl","kiernan,t",1984
165,"mendenhall,cl","seeff,lb",1984
166,"mendenhall,cl","sorrell,m",1984
167,"mendenhall,cl","tamburro,c",1984
168,"mendenhall,cl","weesner,r",1984
169,"mendenhall,cl","zetterman,r",1984
170,"mendenhall,cl","chedid,a",1984
171,"mendenhall,cl","chen,t",1984
172,"mendenhall,cl","rabin,l",1984
173,"horning,sj","rosenberg,sa",1984
174,"smith,br","weinberg,ds",1984
175,"smith,br","robert,nj",1984
176,"smith,br","towle,m",1984
177,"smith,br","luther,e",1984
178,"smith,br","pinkus,gs",1984
179,"smith,br","ault,ka",1984
180,"bailar,jc","louis,ta",1984
181,"bailar,jc","lavori,pw",1984
182,"bailar,jc","polansky,m",1984
183,"davies,gj","chierchia,s",1984
184,"davies,gj","maseri,a",1984
185,"nash,te","neva,fa",1984
186,"kradin,rl","mark,ej",1984
187,"kradin,rl","dedrick,cg",1984
188,"kradin,rl","kazemi,h",1984
189,"kradin,rl","ogara,pt",1984
190,"kradin,rl","goldenheim,po",1984
191,"kradin,rl","pasternack,ms",1984
192,"felson,dt","anderson,j",1984
193,"rodgers,gp","schechter,an",1984
194,"rodgers,gp","noguchi,ct",1984
195,"rodgers,gp","klein,hg",1984
196,"rodgers,gp","nienhuis,aw",1984
197,"rodgers,gp","bonner,rf",1984
198,"grubb,a","jensson,o",1984
199,"grubb,a","gudmundsson,g",1984
200,"grubb,a","arnason,a",1984
201,"grubb,a","lofberg,h",1984
202,"grubb,a","malm,j",1984
203,"krivit,w","pierpont,me",1984
204,"krivit,w","ayaz,k",1984
205,"krivit,w","tsai,m",1984
206,"krivit,w","ramsay,nkc",1984
207,"krivit,w","kersey,jh",1984
208,"krivit,w","weisdorf,s",1984
209,"krivit,w","sibley,r",1984
210,"krivit,w","snover,d",1984
211,"krivit,w","mcgovern,mm",1984
212,"krivit,w","schwartz,mf",1984
213,"krivit,w","desnick,rj",1984
214,"logerfo,fw","coffman,jd",1984
215,"kumar,p","marier,r",1984
216,"kumar,p","leech,sh",1984
217,"bilheimer,dw","goldstein,jl",1984
218,"bilheimer,dw","grundy,sm",1984
219,"bilheimer,dw","starzl,te",1984
220,"bilheimer,dw","brown,ms",1984
221,"rubenstein,lz","josephson,kr",1984
222,"rubenstein,lz","wieland,gd",1984
223,"rubenstein,lz","english,pa",1984
224,"rubenstein,lz","sayre,ja",1984
225,"rubenstein,lz","kane,rl",1984
226,"handelsman,dj","conway,aj",1984
227,"handelsman,dj","boylan,lm",1984
228,"handelsman,dj","turtle,jr",1984
229,"quesada,jr","reuben,j",1984
230,"quesada,jr","manning,jt",1984
231,"quesada,jr","hersh,em",1984
232,"quesada,jr","gutterman,ju",1984
233,"henrich,wl","hunt,jm",1984
234,"henrich,wl","nixon,jv",1984
235,"louis,ta","lavori,pw",1984
236,"louis,ta","bailar,jc",1984
237,"louis,ta","polansky,m",1984
238,"schwartz,wb","aaron,hj",1984
239,"curran,jw","lawrence,dn",1984
240,"curran,jw","jaffe,h",1984
241,"curran,jw","kaplan,je",1984
242,"curran,jw","zyla,ld",1984
243,"curran,jw","chamberland,m",1984
244,"curran,jw","weinstein,r",1984
245,"curran,jw","lui,kj",1984
246,"curran,jw","schonberger,lb",1984
247,"curran,jw","spira,tj",1984
248,"curran,jw","alexander,wj",1984
249,"curran,jw","swinger,g",1984
250,"curran,jw","ammann,a",1984
251,"curran,jw","solomon,s",1984
252,"curran,jw","auerbach,d",1984
253,"curran,jw","mildvan,d",1984
254,"curran,jw","stoneburner,r",1984
255,"curran,jw","jason,jm",1984
256,"curran,jw","haverkos,hw",1984
257,"curran,jw","evatt,bl",1984
258,"scott,gb","buck,be",1984
259,"scott,gb","leterman,jg",1984
260,"scott,gb","bloom,fl",1984
261,"scott,gb","parks,wp",1984
262,"hoffman,sl","punjabi,nh",1984
263,"hoffman,sl","kumala,s",1984
264,"hoffman,sl","moechtar,ma",1984
265,"hoffman,sl","pulungsih,sp",1984
266,"hoffman,sl","rivai,ar",1984
267,"hoffman,sl","rockhill,rc",1984
268,"hoffman,sl","woodward,te",1984
269,"hoffman,sl","loedin,aa",1984
270,"rosenberg,l","schwingl,pj",1984
271,"rosenberg,l","kaufman,dw",1984
272,"rosenberg,l","miller,dr",1984
273,"rosenberg,l","helmrich,sp",1984
274,"rosenberg,l","stolley,pd",1984
275,"rosenberg,l","schottenfeld,d",1984
276,"rosenberg,l","shapiro,s",1984
277,"doubilet,p","abrams,hl",1984
278,"follansbee,wp","curtiss,ei",1984
279,"follansbee,wp","medsger,ta",1984
280,"follansbee,wp","steen,vd",1984
281,"follansbee,wp","uretsky,bf",1984
282,"follansbee,wp","owens,gr",1984
283,"follansbee,wp","rodnan,gp",1984
284,"solomon,sl","wallace,em",1984
285,"solomon,sl","fordjones,el",1984
286,"solomon,sl","baker,wm",1984
287,"solomon,sl","martone,wj",1984
288,"solomon,sl","kopin,ij",1984
289,"solomon,sl","critz,d",1984
290,"solomon,sl","allen,jr",1984
291,"barger,ac","beeuwkes,r",1984
292,"barger,ac","lainey,ll",1984
293,"barger,ac","silverman,kj",1984
294,"hendeles,l","weinberger,m",1984
295,"chesebro,jh","fuster,v",1984
296,"chesebro,jh","elveback,lr",1984
297,"chesebro,jh","clements,ip",1984
298,"chesebro,jh","smith,hc",1984
299,"chesebro,jh","holmes,dr",1984
300,"chesebro,jh","bardsley,wt",1984
301,"chesebro,jh","pluth,jr",1984
302,"chesebro,jh","wallace,rb",1984
303,"chesebro,jh","puga,fj",1984
304,"chesebro,jh","orszulak,ta",1984
305,"chesebro,jh","piehler,jm",1984
306,"chesebro,jh","danielson,gk",1984
307,"chesebro,jh","schaff,hv",1984
308,"chesebro,jh","frye,rl",1984
309,"dellagi,k","brouet,jc",1984
310,"dellagi,k","seligmann,m",1984
311,"freinkel,n","lewis,nj",1984
312,"freinkel,n","akazawa,s",1984
313,"freinkel,n","roth,si",1984
314,"freinkel,n","gorman,l",1984
315,"stimmel,b","graettinger,js",1984
316,"wald,a","tunuguntla,ak",1984
317,"gerblich,aa","campbell,ae",1984
318,"gerblich,aa","schuyler,mr",1984
319,"barlogie,b","smith,l",1984
320,"barlogie,b","alexanian,r",1984
321,"rajfer,si","anton,ah",1984
322,"rajfer,si","rossen,jd",1984
323,"rajfer,si","goldberg,li",1984
324,"taylor,km","margolese,rg",1984
325,"taylor,km","soskolne,cl",1984
326,"weibel,re","neff,bj",1984
327,"weibel,re","kuter,bj",1984
328,"weibel,re","guess,ha",1984
329,"weibel,re","rothenberger,ca",1984
330,"weibel,re","fitzgerald,aj",1984
331,"weibel,re","connor,ka",1984
332,"weibel,re","mclean,aa",1984
333,"weibel,re","hilleman,mr",1984
334,"weibel,re","buynak,eb",1984
335,"weibel,re","scolnick,em",1984
336,"donadio,jv","anderson,cf",1984
337,"donadio,jv","mitchell,jc",1984
338,"donadio,jv","holley,ke",1984
339,"donadio,jv","ilstrup,dm",1984
340,"donadio,jv","fuster,v",1984
341,"donadio,jv","chesebro,jh",1984
342,"liebman,ha","furie,bc",1984
343,"liebman,ha","tong,mj",1984
344,"liebman,ha","blanchard,ra",1984
345,"liebman,ha","lo,kj",1984
346,"liebman,ha","lee,sd",1984
347,"liebman,ha","coleman,ms",1984
348,"liebman,ha","furie,b",1984
349,"plough,al","salem,sr",1984
350,"plough,al","shwartz,m",1984
351,"plough,al","weller,jm",1984
352,"plough,al","ferguson,cw",1984
353,"garson,a","gillette,pc",1984
354,"garson,a","titus,jl",1984
355,"garson,a","hawkins,e",1984
356,"garson,a","kearney,d",1984
357,"garson,a","ott,d",1984
358,"garson,a","cooley,da",1984
359,"garson,a","mcnamara,dg",1984
360,"heyssel,rm","gaintner,jr",1984
361,"heyssel,rm","kues,iw",1984
362,"heyssel,rm","jones,aa",1984
363,"heyssel,rm","lipstein,sh",1984
364,"samet,jm","kutvirt,dm",1984
365,"samet,jm","waxweiler,rj",1984
366,"samet,jm","key,cr",1984
367,"newburger,jw","silbert,ar",1984
368,"newburger,jw","buckley,lp",1984
369,"newburger,jw","fyler,dc",1984
370,"manning,wg","leibowitz,a",1984
371,"manning,wg","goldberg,ga",1984
372,"manning,wg","rogers,wh",1984
373,"manning,wg","newhouse,jp",1984
374,"jacobson,rj","temple,mj",1984
375,"jacobson,rj","singer,jw",1984
376,"jacobson,rj","raskind,w",1984
