,H
0,0.010796859363655351
1,0.006602978171909022
2,0.003569817341459479
3,0.005119289681167362
4,0.0019190598140178207
5,0.0019190598140178207
6,0.0019190598140178207
7,0.003569817341459479
8,0.0019190598140178207
9,0.0080377435773454
10,0.0019190598140178207
11,0.003569817341459479
12,0.003569817341459479
13,0.003569817341459479
14,0.003569817341459479
15,0.0019190598140178207
16,0.0019190598140178207
17,0.014733456134048133
18,0.0019190598140178207
19,0.016003769671765974
20,0.0080377435773454
21,0.003569817341459479
22,0.003569817341459479
23,0.0019190598140178207
24,0.0019190598140178207
25,0.005119289681167362
26,0.003569817341459479
27,0.003569817341459479
28,0.003569817341459479
29,0.0019190598140178207
30,0.0019190598140178207
31,0.0019190598140178207
32,0.0019190598140178207
33,0.0019190598140178207
34,0.005119289681167362
35,0.0019190598140178207
36,0.003569817341459479
37,0.006602978171909022
38,0.0019190598140178207
39,0.005119289681167362
40,0.003569817341459479
41,0.0019190598140178207
42,0.003569817341459479
43,0.005119289681167362
44,0.0019190598140178207
45,0.014733456134048133
46,0.006602978171909022
47,0.0019190598140178207
48,0.0019190598140178207
49,0.0019190598140178207
50,0.0019190598140178207
51,0.006602978171909022
52,0.0019190598140178207
53,0.0019190598140178207
54,0.0019190598140178207
55,0.0019190598140178207
56,0.0019190598140178207
57,0.0080377435773454
58,0.003569817341459479
59,0.003569817341459479
60,0.003569817341459479
61,0.0019190598140178207
62,0.0019190598140178207
63,0.0019190598140178207
64,0.003569817341459479
65,0.0019190598140178207
66,0.003569817341459479
67,0.0019190598140178207
68,0.0019190598140178207
69,0.0019190598140178207
70,0.0019190598140178207
71,0.0019190598140178207
72,0.003569817341459479
73,0.0019190598140178207
74,0.003569817341459479
75,0.0019190598140178207
76,0.0019190598140178207
77,0.0019190598140178207
78,0.0019190598140178207
79,0.0019190598140178207
80,0.0019190598140178207
81,0.0019190598140178207
82,0.0019190598140178207
83,0.006602978171909022
84,0.0080377435773454
85,0.005119289681167362
86,0.0019190598140178207
87,0.0019190598140178207
88,0.003569817341459479
89,0.0019190598140178207
90,0.0019190598140178207
91,0.0019190598140178207
92,0.005119289681167362
93,0.0019190598140178207
94,0.005119289681167362
95,0.0019190598140178207
96,0.010796859363655351
97,0.0019190598140178207
98,0.003569817341459479
99,0.014733456134048133
100,0.0019190598140178207
101,0.0019190598140178207
102,0.0019190598140178207
103,0.0019190598140178207
104,0.0019190598140178207
105,0.0019190598140178207
106,0.016003769671765974
107,0.010796859363655351
108,0.014733456134048133
109,0.0019190598140178207
110,0.0019190598140178207
111,0.0019190598140178207
112,0.005119289681167362
113,0.0019190598140178207
114,0.003569817341459479
115,0.0019190598140178207
116,0.014733456134048133
117,0.0080377435773454
118,0.0019190598140178207
119,0.005119289681167362
120,0.0019190598140178207
121,0.0019190598140178207
122,0.003569817341459479
123,0.0019190598140178207
124,0.0019190598140178207
125,0.0019190598140178207
126,0.0019190598140178207
127,0.0019190598140178207
128,0.012132435486706278
129,0.0019190598140178207
130,0.0019190598140178207
131,0.003569817341459479
132,0.006602978171909022
133,0.0019190598140178207
134,0.003569817341459479
135,0.0019190598140178207
136,0.003569817341459479
137,0.0019190598140178207
138,0.0019190598140178207
139,0.0019190598140178207
140,0.0019190598140178207
141,0.0019190598140178207
142,0.0019190598140178207
143,0.003569817341459479
144,0.0019190598140178207
145,0.0080377435773454
146,0.0019190598140178207
147,0.0080377435773454
148,0.005119289681167362
149,0.009433516668120995
150,0.0019190598140178207
151,0.003569817341459479
152,0.0019190598140178207
153,0.003569817341459479
154,0.009433516668120995
155,0.0019190598140178207
156,0.003569817341459479
157,0.0019190598140178207
158,0.0019190598140178207
159,0.0019190598140178207
160,0.0019190598140178207
161,0.0019190598140178207
162,0.0019190598140178207
163,0.003569817341459479
164,0.0019190598140178207
165,0.003569817341459479
166,0.0019190598140178207
167,0.0019190598140178207
168,0.0019190598140178207
169,0.0019190598140178207
170,0.0019190598140178207
171,0.0019190598140178207
172,0.0019190598140178207
173,0.003569817341459479
174,0.0019190598140178207
175,0.0019190598140178207
176,0.005119289681167362
177,0.009433516668120995
178,0.0080377435773454
179,0.0080377435773454
180,0.003569817341459479
181,0.0019190598140178207
182,0.0019190598140178207
183,0.0019190598140178207
184,0.0019190598140178207
185,0.003569817341459479
186,0.0019190598140178207
187,0.0019190598140178207
188,0.0019190598140178207
189,0.005119289681167362
190,0.003569817341459479
191,0.0019190598140178207
192,0.0019190598140178207
193,0.003569817341459479
194,0.0019190598140178207
195,0.0019190598140178207
196,0.003569817341459479
197,0.0019190598140178207
198,0.0019190598140178207
199,0.0019190598140178207
200,0.0019190598140178207
201,0.0019190598140178207
202,0.0019190598140178207
203,0.0019190598140178207
204,0.003569817341459479
205,0.0019190598140178207
206,0.010796859363655351
207,0.0080377435773454
208,0.006602978171909022
209,0.0019190598140178207
210,0.0080377435773454
211,0.0019190598140178207
212,0.003569817341459479
213,0.0019190598140178207
214,0.005119289681167362
215,0.0019190598140178207
216,0.0019190598140178207
217,0.003569817341459479
218,0.003569817341459479
219,0.009433516668120995
220,0.0019190598140178207
221,0.0019190598140178207
222,0.0019190598140178207
223,0.003569817341459479
224,0.0019190598140178207
225,0.003569817341459479
226,0.0019190598140178207
227,0.0019190598140178207
228,0.0019190598140178207
229,0.003569817341459479
230,0.003569817341459479
231,0.005119289681167362
232,0.0019190598140178207
233,0.0019190598140178207
234,0.0019190598140178207
235,0.003569817341459479
236,0.0019190598140178207
237,0.0019190598140178207
238,0.0080377435773454
239,0.012132435486706278
240,0.0019190598140178207
241,0.0019190598140178207
242,0.0019190598140178207
243,0.003569817341459479
244,0.0019190598140178207
245,0.0019190598140178207
246,0.005119289681167362
247,0.0019190598140178207
248,0.009433516668120995
249,0.01971451129389136
250,0.010796859363655351
251,0.0019190598140178207
252,0.0019190598140178207
253,0.0019190598140178207
254,0.014733456134048133
255,0.005119289681167362
256,0.0019190598140178207
257,0.0019190598140178207
258,0.0019190598140178207
259,0.0019190598140178207
260,0.0019190598140178207
261,0.0019190598140178207
262,0.0019190598140178207
263,0.003569817341459479
264,0.0019190598140178207
265,0.003569817341459479
266,0.0019190598140178207
267,0.0019190598140178207
268,0.0019190598140178207
269,0.0019190598140178207
270,0.0019190598140178207
271,0.003569817341459479
272,0.005119289681167362
273,0.0019190598140178207
274,0.014733456134048133
275,0.003569817341459479
276,0.005119289681167362
277,0.0019190598140178207
278,0.003569817341459479
279,0.0019190598140178207
280,0.003569817341459479
281,0.0019190598140178207
282,0.0019190598140178207
283,0.0019190598140178207
284,0.017256440130485086
285,0.012132435486706278
286,0.016003769671765974
287,0.003569817341459479
288,0.0019190598140178207
289,0.0019190598140178207
290,0.003569817341459479
291,0.005119289681167362
292,0.003569817341459479
293,0.0019190598140178207
294,0.0019190598140178207
295,0.012132435486706278
296,0.0080377435773454
297,0.012132435486706278
298,0.006602978171909022
299,0.0019190598140178207
300,0.0019190598140178207
301,0.0019190598140178207
302,0.0019190598140178207
303,0.0019190598140178207
304,0.0019190598140178207
305,0.005119289681167362
306,0.0019190598140178207
307,0.009433516668120995
308,0.0019190598140178207
309,0.0019190598140178207
310,0.005119289681167362
311,0.0019190598140178207
312,0.005119289681167362
313,0.003569817341459479
314,0.003569817341459479
315,0.0019190598140178207
316,0.003569817341459479
317,0.0019190598140178207
318,0.0019190598140178207
319,0.0019190598140178207
320,0.003569817341459479
321,0.003569817341459479
322,0.0019190598140178207
323,0.0019190598140178207
324,0.0019190598140178207
325,0.0019190598140178207
326,0.0019190598140178207
327,0.003569817341459479
328,0.0019190598140178207
329,0.003569817341459479
330,0.006602978171909022
331,0.0019190598140178207
332,0.0019190598140178207
333,0.0019190598140178207
334,0.003569817341459479
335,0.003569817341459479
336,0.0019190598140178207
337,0.0019190598140178207
338,0.003569817341459479
339,0.0019190598140178207
340,0.0019190598140178207
341,0.0019190598140178207
342,0.003569817341459479
343,0.0019190598140178207
344,0.0019190598140178207
345,0.0019190598140178207
346,0.003569817341459479
347,0.0019190598140178207
348,0.0019190598140178207
349,0.0019190598140178207
350,0.0019190598140178207
351,0.003569817341459479
352,0.0019190598140178207
353,0.003569817341459479
354,0.0019190598140178207
355,0.0019190598140178207
356,0.005119289681167362
357,0.005119289681167362
358,0.0019190598140178207
359,0.0019190598140178207
360,0.003569817341459479
361,0.006602978171909022
362,0.0019190598140178207
363,0.0019190598140178207
364,0.003569817341459479
365,0.0019190598140178207
366,0.0019190598140178207
