,H
0,0.018440952673885895
1,0.0031327167323199415
2,0.025636673440889643
3,0.001682242907959076
4,0.001682242907959076
5,0.050527497219913765
6,0.005801856541890816
7,0.043503021079898514
8,0.09188487386999018
9,0.001682242907959076
10,0.004495698701177629
11,0.05395486147093677
12,0.004495698701177629
13,0.004495698701177629
14,0.004495698701177629
15,0.001682242907959076
16,0.0031327167323199415
17,0.0031327167323199415
18,0.051389318067660714
19,0.009498180523351583
20,0.0031327167323199415
21,0.004495698701177629
22,0.0031327167323199415
23,0.001682242907959076
24,0.0031327167323199415
25,0.012972277643841875
26,0.02260696852024844
27,0.001682242907959076
28,0.014094133571128696
29,0.016293403132044165
30,0.001682242907959076
31,0.07669374838753999
32,0.004495698701177629
33,0.048793490254218704
34,0.0031327167323199415
35,0.060660660061128566
36,0.001682242907959076
37,0.03149802740658517
38,0.007065755376091877
39,0.0031327167323199415
40,0.10426234455173766
41,0.03149802740658517
42,0.001682242907959076
43,0.04528191456357489
44,0.001682242907959076
45,0.007065755376091877
46,0.007065755376091877
47,0.03989521530035313
48,0.001682242907959076
49,0.02054371234070552
50,0.04792115893160041
51,0.02663083847231998
52,0.024634887639244294
53,0.0031327167323199415
54,0.0031327167323199415
55,0.018440952673885895
56,0.007065755376091877
57,0.029570781384082773
58,0.017373163122899188
59,0.014094133571128696
60,0.018440952673885895
61,0.04528191456357489
62,0.050527497219913765
63,0.005801856541890816
64,0.007065755376091877
65,0.004495698701177629
66,0.053102935886115935
67,0.035282175924204996
68,0.029570781384082773
69,0.012972277643841875
70,0.0031327167323199415
71,0.052247775766972746
72,0.03340129361800566
73,0.05480361318767494
74,0.015200751638283622
75,0.007065755376091877
76,0.001682242907959076
77,0.011833657141090598
78,0.02054371234070552
79,0.004495698701177629
80,0.012972277643841875
81,0.004495698701177629
82,0.012972277643841875
83,0.017373163122899188
84,0.007065755376091877
85,0.011833657141090598
86,0.008295973871423421
87,0.032452553079167036
88,0.001682242907959076
89,0.016293403132044165
90,0.004495698701177629
91,0.004495698701177629
92,0.005801856541890816
93,0.007065755376091877
94,0.032452553079167036
95,0.019497569744721926
96,0.051389318067660714
97,0.009498180523351583
98,0.017373163122899188
99,0.0031327167323199415
100,0.034344441283215156
101,0.017373163122899188
102,0.14429371049104078
103,0.007065755376091877
104,0.023625118832856968
105,0.0031327167323199415
106,0.001682242907959076
107,0.004495698701177629
108,0.02260696852024844
109,0.0031327167323199415
110,0.0031327167323199415
111,0.005801856541890816
112,0.001682242907959076
113,0.005801856541890816
114,0.005801856541890816
115,0.001682242907959076
116,0.0031327167323199415
117,0.005801856541890816
118,0.016293403132044165
119,0.015200751638283622
120,0.010676404162150143
121,0.004495698701177629
122,0.004495698701177629
123,0.034344441283215156
124,0.004495698701177629
125,0.005801856541890816
126,0.016293403132044165
127,0.032452553079167036
128,0.007065755376091877
129,0.001682242907959076
130,0.024634887639244294
131,0.02260696852024844
132,0.004495698701177629
133,0.008295973871423421
134,0.010676404162150143
135,0.004495698701177629
136,0.001682242907959076
137,0.0031327167323199415
138,0.001682242907959076
139,0.019497569744721926
140,0.0031327167323199415
141,0.012972277643841875
142,0.016293403132044165
143,0.05395486147093677
144,0.015200751638283622
145,0.0031327167323199415
146,0.011833657141090598
147,0.004495698701177629
148,0.017373163122899188
149,0.001682242907959076
150,0.011833657141090598
151,0.0031327167323199415
152,0.001682242907959076
153,0.016293403132044165
154,0.012972277643841875
155,0.0031327167323199415
156,0.008295973871423421
157,0.005801856541890816
158,0.001682242907959076
159,0.004495698701177629
160,0.010676404162150143
161,0.008295973871423421
162,0.009498180523351583
163,0.009498180523351583
164,0.004495698701177629
165,0.008295973871423421
166,0.001682242907959076
167,0.012972277643841875
168,0.001682242907959076
169,0.001682242907959076
170,0.001682242907959076
171,0.025636673440889643
172,0.009498180523351583
173,0.012972277643841875
174,0.028597601458429524
175,0.06230854163883058
176,0.015200751638283622
177,0.001682242907959076
178,0.001682242907959076
179,0.007065755376091877
180,0.024634887639244294
181,0.0031327167323199415
182,0.014094133571128696
183,0.018440952673885895
184,0.016293403132044165
185,0.004495698701177629
186,0.001682242907959076
187,0.005801856541890816
188,0.024634887639244294
189,0.007065755376091877
190,0.03989521530035313
191,0.004495698701177629
192,0.029570781384082773
193,0.06879629997997361
194,0.004495698701177629
195,0.001682242907959076
196,0.001682242907959076
197,0.005801856541890816
198,0.03149802740658517
199,0.001682242907959076
200,0.009498180523351583
201,0.004495698701177629
202,0.005801856541890816
203,0.04616545369933507
204,0.0031327167323199415
205,0.001682242907959076
206,0.001682242907959076
207,0.001682242907959076
208,0.024634887639244294
209,0.0031327167323199415
210,0.023625118832856968
211,0.06312845130169752
212,0.001682242907959076
213,0.034344441283215156
214,0.010676404162150143
215,0.004495698701177629
216,0.001682242907959076
217,0.001682242907959076
218,0.004495698701177629
219,0.029570781384082773
220,0.018440952673885895
