,BMJ,nature,science,jama,england,msg,email,SD01,SD02,SD03
MI,0.771,0.75,0.755,0.764,0.771,0.954,0.96,0.987,0.989,0.988
TE,0.674,0.657,0.67,0.658,0.614,0.939,0.849,0.402,0.331,0.466
