,BMJ,nature,science,jama,england,msg,email,SD01,SD02,SD03
TCN_mean,0.609,0.609,0.614,0.639,0.585,0.751,0.761,0.689,0.719,0.688
TCN_min,0.612,0.635,0.637,0.638,0.605,0.895,0.912,0.956,0.957,0.948
