,BMJ,nature,science,jama,england,msg,email,SD01,SD02,SD03
MI,0.744,0.754,0.759,0.77,0.762,0.947,0.961,0.985,0.989,0.987
TE_xiu,0.725,0.741,0.716,0.711,0.733,0.936,0.931,0.981,0.985,0.983
CN_MI,0.806,0.777,0.825,0.846,0.817,0.897,0.968,0.986,0.991,0.982
CN_TE_xiu,0.791,0.764,0.81,0.816,0.801,0.895,0.962,0.983,0.988,0.978
