,BMJ,nature,science,jama,england,msg,email,SD01,SD02,SD03
TCN_mean,0.781,0.783,0.779,0.781,0.72,0.825,0.836,0.81,0.84,0.811
TCN_min,0.822,0.84,0.829,0.834,0.791,0.972,0.962,0.986,0.987,0.984
