,BMJ,nature,science,jama,england,msg,email,SD01,SD02,SD03
MI,0.642,0.612,0.618,0.654,0.628,0.904,0.912,0.962,0.959,0.951
TE,0.584,0.544,0.545,0.545,0.515,0.886,0.722,0.355,0.278,0.394
