,BMJ,nature,science,jama,england,msg,email,SD01,SD02,SD03
MI,0.592,0.613,0.62,0.633,0.617,0.899,0.916,0.957,0.961,0.954
TE_xiu,0.617,0.635,0.604,0.631,0.631,0.912,0.919,0.96,0.962,0.957
CN_MI,0.642,0.639,0.688,0.703,0.675,0.793,0.868,0.966,0.971,0.96
CN_TE_xiu,0.647,0.647,0.622,0.658,0.679,0.788,0.869,0.965,0.97,0.96
